N,P,K,temperature,humidity,ph,rainfall,label
24.36,70.01,13.68,24.82,47.36,5.85,121.24,pigeonpeas
32.76,79.83,22.71,27.92,46.83,5.32,151.44,pigeonpeas
21.99,57.77,21.64,27.23,36.65,5.37,139.16,pigeonpeas
30.14,72.15,14.96,29.16,38.82,6.34,137.72,pigeonpeas
20.23,78.31,15.15,23.51,44.6,6.32,111.52,pigeonpeas
6.54,64.09,22.51,31.3,45.32,5.59,178.35,pigeonpeas
11.35,64.59,21.06,29.05,45.04,5.82,87.29,pigeonpeas
17.41,71.33,16.37,27.88,50.78,5.63,153.76,pigeonpeas
15.89,66.05,22.74,28.17,44.58,5.91,167.37,pigeonpeas
10.45,76.97,18.95,28.98,55.28,5.11,131.76,pigeonpeas
19.26,61.43,27.24,25.13,44.77,5.9,119.45,pigeonpeas
18.72,70.24,18.97,27.42,44.92,5.04,157.54,pigeonpeas
29.47,67.85,21.2,29.78,40.48,6.65,154.56,pigeonpeas
28.86,61.84,27.57,30.03,51.42,5.92,143.29,pigeonpeas
26.7,68.82,12.43,24.35,46.98,5.95,148.09,pigeonpeas
26.79,52.09,20.87,22.25,52.66,5.75,159.99,pigeonpeas
16.38,77.94,24.47,29.45,47.32,6.09,131.83,pigeonpeas
24.98,80.9,24.58,25.51,50.27,5.15,163.81,pigeonpeas
22.95,52.74,15.65,26.85,46.29,5.2,159.22,pigeonpeas
21.96,66.15,17.28,30.85,58.03,5.56,134.2,pigeonpeas
23.16,64.84,19.74,29.92,36.64,6.46,151.32,pigeonpeas
18.64,66.99,20.15,22.51,57.07,5.82,160.58,pigeonpeas
25.46,59.53,22.19,26.9,53.18,4.74,147.02,pigeonpeas
17.69,71.16,22.18,25.58,43.83,5.74,127.08,pigeonpeas
24.91,64.75,8.67,26.58,41.87,4.98,118.56,pigeonpeas
21.25,78.33,21.55,25.88,50.84,5.57,132.13,pigeonpeas
14.93,53.69,18.74,28.17,47.52,5.59,125.86,pigeonpeas
23.74,57.16,23.4,24.69,43.59,5.07,136.96,pigeonpeas
25.58,71.83,24.21,29.27,41.48,5.63,130.0,pigeonpeas
27.35,58.13,23.87,30.38,59.08,5.6,167.31,pigeonpeas
32.11,62.76,14.16,22.06,52.38,4.86,140.19,pigeonpeas
22.89,69.18,22.0,28.37,55.77,5.32,132.58,pigeonpeas
16.84,74.34,23.9,29.05,55.2,5.21,191.18,pigeonpeas
28.32,73.58,27.43,22.73,44.95,5.43,167.54,pigeonpeas
15.45,73.76,25.78,29.79,49.8,5.31,128.33,pigeonpeas
26.95,73.93,20.14,26.45,35.95,5.26,197.29,pigeonpeas
14.3,69.22,24.33,23.94,49.21,6.27,149.81,pigeonpeas
35.04,54.35,24.53,27.18,52.73,6.02,131.17,pigeonpeas
21.84,52.84,22.71,28.59,51.93,6.33,158.69,pigeonpeas
21.44,60.65,17.45,31.26,56.72,5.68,150.65,pigeonpeas
16.18,77.08,22.96,33.52,42.83,5.61,155.29,pigeonpeas
23.93,65.97,16.81,30.34,52.43,5.34,183.39,pigeonpeas
26.55,68.77,20.62,29.36,42.93,5.82,95.69,pigeonpeas
25.08,55.21,26.31,26.71,46.83,5.49,142.3,pigeonpeas
27.79,47.8,25.41,28.71,40.86,5.26,191.41,pigeonpeas
15.97,58.47,24.85,28.72,42.47,5.91,123.86,pigeonpeas
26.2,76.19,22.43,28.78,58.67,5.8,119.95,pigeonpeas
22.95,84.39,16.24,26.62,50.6,5.77,124.94,pigeonpeas
26.31,86.26,21.08,24.99,38.81,5.93,177.1,pigeonpeas
23.08,67.68,17.94,24.42,53.11,6.26,110.86,pigeonpeas
28.65,72.29,25.9,23.67,39.91,5.73,162.07,pigeonpeas
29.68,73.35,19.33,24.62,55.48,5.32,190.21,pigeonpeas
19.28,80.42,23.02,27.29,44.98,5.63,160.21,pigeonpeas
21.09,62.95,19.64,27.94,35.33,6.03,125.01,pigeonpeas
14.93,54.2,13.12,23.63,43.85,6.78,136.35,pigeonpeas
21.59,70.9,20.82,27.47,40.93,6.53,194.68,pigeonpeas
12.29,59.51,19.18,24.81,51.14,5.44,203.63,pigeonpeas
26.65,69.4,24.41,31.02,44.72,5.39,151.45,pigeonpeas
25.01,68.81,13.99,25.29,47.66,5.76,198.81,pigeonpeas
13.77,71.74,26.26,34.51,45.67,6.05,163.74,pigeonpeas
21.68,66.91,22.04,20.1,52.19,5.86,143.94,pigeonpeas
30.93,62.3,18.69,33.67,43.11,5.52,145.82,pigeonpeas
24.9,69.36,15.13,26.1,44.46,5.76,160.15,pigeonpeas
22.79,53.49,24.56,28.46,56.41,6.02,177.03,pigeonpeas
23.03,78.47,22.39,27.41,61.73,6.24,163.84,pigeonpeas
14.32,57.39,21.47,28.14,44.42,5.87,189.22,pigeonpeas
24.18,58.57,19.85,25.29,45.77,5.59,137.56,pigeonpeas
14.42,66.68,18.06,18.91,60.42,6.34,140.09,pigeonpeas
20.79,58.33,27.08,33.39,49.04,6.31,153.88,pigeonpeas
14.02,64.41,20.83,26.34,46.79,5.75,147.48,pigeonpeas
20.96,59.22,17.43,23.85,53.97,4.75,178.34,pigeonpeas
27.63,65.28,9.89,26.62,47.71,5.29,136.62,pigeonpeas
28.35,73.02,16.6,22.91,46.14,5.69,161.9,pigeonpeas
18.02,71.79,28.04,30.15,47.81,5.71,140.58,pigeonpeas
27.3,43.61,20.38,28.35,49.69,5.98,54.43,mothbeans
21.09,51.5,18.07,31.86,47.06,7.83,33.72,mothbeans
23.57,51.33,17.02,29.47,62.16,5.47,56.23,mothbeans
8.93,41.24,26.72,26.45,44.98,6.68,71.88,mothbeans
12.24,40.64,26.19,33.77,52.48,6.06,72.16,mothbeans
29.37,52.75,16.95,28.05,52.08,7.0,65.71,mothbeans
25.8,40.46,25.71,29.14,58.01,7.68,40.08,mothbeans
21.22,44.28,13.93,29.24,70.78,5.7,50.88,mothbeans
24.6,48.86,19.75,24.3,54.83,6.35,29.3,mothbeans
27.37,54.71,20.41,28.89,60.72,6.93,60.24,mothbeans
19.91,57.18,21.48,28.78,44.31,6.97,42.88,mothbeans
18.21,42.29,15.94,34.57,62.52,7.95,38.97,mothbeans
21.76,38.95,17.42,25.45,61.88,6.56,61.88,mothbeans
24.42,64.13,14.28,31.98,61.23,6.22,61.27,mothbeans
23.08,46.41,16.9,26.04,67.55,6.8,59.02,mothbeans
17.45,42.54,24.53,24.15,50.29,6.82,52.31,mothbeans
20.5,50.77,22.97,30.4,46.3,6.63,63.15,mothbeans
25.87,38.39,21.61,22.27,53.53,7.94,41.72,mothbeans
17.23,53.35,14.03,26.3,57.38,6.42,48.84,mothbeans
25.12,50.95,21.27,27.18,55.79,6.73,55.78,mothbeans
18.92,46.72,16.24,28.09,47.52,6.13,53.79,mothbeans
22.46,53.48,18.48,29.42,57.06,7.07,42.94,mothbeans
22.15,50.55,20.23,21.94,54.32,8.13,47.6,mothbeans
17.76,50.61,21.45,31.78,44.39,7.24,57.1,mothbeans
20.69,50.37,24.32,30.82,45.2,7.29,50.55,mothbeans
21.76,48.51,19.6,31.78,52.61,6.13,47.26,mothbeans
22.29,56.6,22.61,25.65,70.6,6.96,63.95,mothbeans
20.64,51.73,23.56,31.85,60.6,7.32,48.05,mothbeans
18.54,50.33,23.93,27.53,60.66,7.67,42.04,mothbeans
17.22,47.02,21.43,26.63,62.67,7.05,51.59,mothbeans
14.22,38.79,21.32,21.8,60.29,6.71,83.63,mothbeans
32.94,46.73,19.77,31.19,65.12,5.82,33.34,mothbeans
18.29,52.08,22.19,31.41,44.8,5.41,59.78,mothbeans
17.26,33.87,20.78,30.58,52.35,6.53,49.61,mothbeans
19.55,38.56,17.34,29.76,55.45,6.9,41.25,mothbeans
20.49,32.76,20.91,32.49,42.88,6.45,54.49,mothbeans
27.66,44.86,17.43,22.29,53.92,8.03,53.97,mothbeans
21.29,50.25,20.16,25.76,58.96,6.94,51.38,mothbeans
16.52,57.12,22.86,26.54,60.21,6.5,43.38,mothbeans
17.6,35.6,22.09,22.71,44.6,5.55,50.34,mothbeans
20.65,45.71,16.03,24.68,56.45,6.47,54.36,mothbeans
16.97,49.27,25.41,29.96,50.31,6.95,48.79,mothbeans
21.44,45.72,19.54,28.84,46.25,6.19,37.31,mothbeans
13.4,39.48,20.84,25.52,56.8,6.82,31.51,mothbeans
24.67,53.68,16.22,29.46,47.2,6.86,38.56,mothbeans
12.43,45.32,19.71,27.01,44.91,6.56,53.89,mothbeans
21.18,49.28,17.52,31.72,44.97,7.09,63.02,mothbeans
23.8,46.58,18.09,31.31,43.24,6.22,47.22,mothbeans
27.59,50.66,16.33,27.27,48.9,6.37,60.99,mothbeans
14.54,59.26,23.51,31.47,49.96,6.71,36.87,mothbeans
18.78,51.46,25.38,24.88,50.64,6.71,37.24,mothbeans
24.36,42.93,19.42,26.84,47.67,6.8,49.04,mothbeans
19.54,42.9,21.48,33.16,54.18,7.4,37.3,mothbeans
22.19,40.32,14.29,25.98,61.54,7.37,53.63,mothbeans
13.74,46.63,21.41,28.73,40.29,6.27,50.56,mothbeans
24.08,32.63,19.55,28.63,59.15,7.22,57.03,mothbeans
17.4,34.64,18.63,31.2,62.95,7.23,55.49,mothbeans
23.3,44.11,19.68,33.21,46.6,7.77,47.98,mothbeans
28.03,38.15,22.54,25.99,43.29,6.93,61.29,mothbeans
17.18,37.51,19.83,27.94,57.04,7.37,50.61,mothbeans
30.68,49.57,18.81,23.37,51.36,6.6,60.8,mothbeans
23.71,39.74,20.89,30.21,63.9,7.33,58.81,mothbeans
21.7,50.72,25.2,24.2,50.75,6.34,54.99,mothbeans
27.55,43.82,10.64,26.96,59.59,7.12,55.48,mothbeans
20.0,39.05,22.26,25.7,68.49,7.14,45.39,mothbeans
18.34,47.35,19.24,31.55,54.5,6.36,70.1,mothbeans
21.65,53.38,17.77,29.29,55.38,5.67,71.35,mothbeans
27.85,45.22,15.79,29.24,53.81,7.01,53.12,mothbeans
23.93,58.13,22.47,25.05,62.74,7.78,82.72,mothbeans
15.78,49.7,11.87,29.86,49.36,7.95,43.45,mothbeans
12.95,44.7,12.3,30.45,38.74,6.82,30.42,mothbeans
19.8,59.5,21.64,25.61,52.98,6.81,55.93,mothbeans
14.57,52.15,9.38,26.31,49.78,7.18,51.43,mothbeans
14.37,41.11,20.99,27.96,49.15,6.51,58.16,mothbeans
18.81,47.38,28.88,23.93,40.24,7.27,44.41,mothbeans
19.81,42.53,19.16,33.0,58.81,7.32,37.04,mothbeans
15.64,28.13,16.96,31.07,56.82,6.67,50.98,mothbeans
17.96,49.43,23.26,23.35,55.3,7.36,47.05,mothbeans
24.9,67.7,19.78,29.38,48.03,6.91,55.8,mothbeans
22.37,40.86,21.03,32.59,56.34,7.38,48.83,mothbeans
25.15,49.95,16.4,29.16,46.26,6.42,53.09,mothbeans
22.89,39.68,24.42,29.92,48.27,5.88,49.75,mothbeans
19.17,48.79,18.75,22.18,50.48,6.62,57.54,mothbeans
17.91,59.75,12.55,32.13,51.63,7.32,52.0,mothbeans
27.1,45.29,15.81,32.46,52.41,6.93,63.55,mothbeans
16.24,52.17,17.84,27.8,53.71,5.9,43.41,mothbeans
28.16,54.2,19.95,28.93,51.14,7.61,49.2,mothbeans
22.56,56.02,17.09,32.88,42.49,7.78,47.47,mothbeans
20.19,34.77,18.38,25.08,48.95,6.72,60.78,mothbeans
22.44,50.15,15.82,25.56,65.79,6.36,67.76,mothbeans
20.18,48.02,24.48,32.02,52.42,6.57,50.64,mothbeans
23.09,54.24,20.22,30.06,64.67,7.03,54.32,mothbeans
13.81,29.58,21.75,27.92,49.6,6.95,50.6,mothbeans
27.04,48.6,17.21,31.17,51.68,7.12,46.43,mothbeans
18.15,48.59,20.25,29.64,51.32,5.7,46.87,mothbeans
25.37,45.92,19.21,31.16,48.22,5.87,49.59,mothbeans
18.98,41.24,19.5,29.67,53.13,6.98,69.33,mothbeans
19.69,49.95,18.16,25.66,49.11,6.51,54.79,mothbeans
33.15,42.99,18.53,28.01,55.97,6.96,64.04,mothbeans
9.27,31.29,18.22,31.49,42.24,5.0,56.91,mothbeans
22.12,39.67,15.96,26.08,85.94,6.45,52.35,mungbean
6.63,41.3,15.4,27.86,83.35,7.02,33.53,mungbean
21.13,51.21,27.33,27.3,86.8,5.98,29.26,mungbean
25.12,47.26,24.61,25.07,87.58,7.45,51.76,mungbean
22.28,47.36,13.62,31.89,83.06,6.9,35.9,mungbean
15.0,57.35,18.51,32.13,85.19,5.96,55.54,mungbean
17.95,52.19,20.0,24.64,86.16,7.58,52.34,mungbean
20.61,54.83,20.74,29.02,81.13,6.79,56.68,mungbean
16.72,57.27,19.53,26.28,89.49,6.59,54.48,mungbean
19.44,46.88,21.87,29.23,77.52,6.25,55.84,mungbean
20.24,43.63,14.47,25.8,77.41,6.66,43.61,mungbean
16.07,46.82,21.36,33.73,79.45,7.16,56.18,mungbean
17.0,48.72,18.07,28.96,91.54,6.94,52.47,mungbean
18.75,36.91,19.07,31.52,79.39,6.28,49.41,mungbean
15.98,41.75,18.21,25.09,81.6,6.98,37.94,mungbean
12.91,42.89,22.83,28.01,83.64,6.72,34.43,mungbean
23.37,49.98,18.26,31.01,80.99,7.15,49.64,mungbean
19.22,47.16,19.47,31.55,81.19,6.39,56.69,mungbean
17.92,53.6,26.7,27.5,88.23,6.24,54.44,mungbean
21.9,50.61,17.32,24.35,87.51,5.87,45.86,mungbean
25.61,48.64,27.69,31.06,82.88,6.71,48.02,mungbean
12.99,40.72,17.66,23.41,85.69,6.6,35.02,mungbean
22.92,52.31,20.81,27.69,87.87,6.97,50.86,mungbean
16.78,49.24,24.68,27.01,93.89,6.49,48.66,mungbean
17.54,48.86,12.93,27.13,81.13,6.75,56.36,mungbean
24.13,30.7,28.07,29.24,82.39,6.76,49.81,mungbean
17.57,48.69,17.47,27.49,82.75,6.13,49.57,mungbean
23.83,50.9,23.18,29.31,83.37,7.04,37.54,mungbean
16.4,40.55,24.22,30.86,87.45,7.13,41.37,mungbean
22.64,46.42,23.29,28.21,83.96,6.92,55.41,mungbean
17.56,46.87,15.67,22.25,86.3,6.94,50.5,mungbean
11.15,44.84,11.03,31.92,81.16,7.2,55.97,mungbean
16.4,39.37,21.3,26.39,85.91,6.51,34.15,mungbean
9.75,48.89,17.65,27.12,88.28,7.17,46.22,mungbean
19.2,50.8,14.47,29.06,87.71,6.97,32.91,mungbean
17.09,41.15,20.3,29.7,91.49,6.5,44.42,mungbean
26.65,49.38,24.97,29.22,80.87,6.17,35.99,mungbean
24.21,55.62,27.3,30.61,90.15,6.47,39.15,mungbean
25.15,50.22,20.33,29.47,86.79,7.21,58.76,mungbean
23.62,53.22,21.96,27.35,88.53,6.14,56.83,mungbean
14.93,49.3,16.52,29.88,85.36,6.06,51.77,mungbean
18.01,53.47,19.91,29.49,81.67,6.46,44.73,mungbean
25.18,59.04,16.68,31.19,76.82,6.22,40.73,mungbean
14.14,36.21,21.55,27.96,87.02,6.98,50.52,mungbean
24.19,46.81,15.15,31.14,83.14,6.33,46.98,mungbean
16.34,44.38,21.28,29.37,81.91,6.5,56.99,mungbean
23.38,61.83,24.62,31.36,79.95,7.01,47.98,mungbean
18.15,48.48,23.68,29.75,81.99,7.0,43.3,mungbean
21.98,45.18,19.02,30.42,81.34,7.48,33.83,mungbean
17.91,49.89,22.24,28.25,85.27,6.86,46.55,mungbean
27.87,53.18,23.39,26.08,85.18,6.58,40.36,mungbean
22.7,43.54,22.52,25.82,92.38,6.34,50.15,mungbean
24.86,43.31,23.31,25.43,91.31,6.71,43.63,mungbean
19.4,52.96,17.56,26.63,84.61,6.23,62.96,mungbean
18.07,53.12,20.74,26.04,85.48,7.01,46.89,mungbean
26.87,54.45,23.58,27.35,81.18,6.45,49.97,mungbean
23.63,32.1,19.87,28.9,84.39,7.22,51.77,mungbean
27.45,45.79,23.65,32.59,90.75,6.26,46.37,mungbean
19.17,50.72,22.65,26.4,85.77,5.89,59.94,mungbean
18.34,47.69,18.66,31.37,74.15,6.69,47.55,mungbean
18.63,59.38,16.35,30.43,86.93,7.2,43.06,mungbean
17.24,54.97,21.6,24.64,83.34,6.85,55.1,mungbean
17.5,26.9,21.99,25.45,77.43,5.57,54.91,mungbean
21.54,45.72,25.46,30.09,91.97,6.14,48.12,mungbean
12.82,45.69,18.91,30.07,85.68,6.95,54.03,mungbean
31.67,45.09,16.14,29.12,82.29,7.29,46.13,mungbean
18.07,44.0,22.77,28.11,82.93,7.37,41.55,mungbean
21.08,51.87,13.37,29.7,81.28,7.03,40.7,mungbean
24.36,55.04,23.35,29.13,84.57,6.47,60.17,mungbean
17.4,40.04,22.56,26.51,81.7,6.12,44.54,mungbean
20.49,49.0,23.71,29.82,84.74,6.62,52.48,mungbean
27.26,48.18,18.02,26.02,79.72,6.97,53.02,mungbean
23.79,46.4,25.53,27.29,89.32,6.68,43.53,mungbean
23.86,50.17,21.33,28.7,85.35,7.66,57.87,mungbean
24.51,48.08,23.93,29.79,85.6,6.58,47.75,mungbean
5.05,48.77,17.95,32.48,85.58,6.22,48.0,mungbean
15.67,50.61,21.06,30.89,82.34,6.71,37.48,mungbean
24.41,50.93,21.88,28.5,87.16,7.34,46.12,mungbean
21.59,39.7,16.43,28.74,89.92,6.6,46.51,mungbean
18.87,43.56,21.08,24.76,90.62,6.43,54.18,mungbean
14.55,51.98,22.59,29.46,81.52,6.8,38.94,mungbean
19.64,54.51,23.09,28.54,81.6,6.96,48.56,mungbean
9.3,52.78,19.8,31.51,81.12,5.43,50.63,mungbean
22.36,35.47,15.99,35.39,84.28,6.99,43.19,mungbean
10.45,46.11,18.84,27.5,85.04,6.81,47.2,mungbean
14.58,50.7,12.1,23.37,88.46,6.9,47.94,mungbean
13.92,42.34,18.85,24.51,82.54,6.96,59.82,mungbean
18.8,52.6,12.24,30.15,82.28,6.82,46.42,mungbean
27.5,41.18,22.41,27.8,84.87,6.63,41.63,mungbean
20.83,46.86,20.86,28.71,88.69,7.07,40.0,mungbean
25.24,39.0,22.25,30.05,77.85,6.74,44.65,mungbean
17.11,56.76,17.29,26.48,85.8,6.97,47.27,mungbean
26.73,51.02,11.19,27.18,83.25,6.89,27.4,mungbean
33.65,51.02,20.5,31.45,94.87,7.05,55.99,mungbean
21.55,46.31,18.0,26.43,82.75,6.16,47.79,mungbean
12.48,48.64,19.75,28.87,83.41,7.93,59.28,mungbean
14.68,48.93,17.47,25.96,80.14,6.87,42.95,mungbean
25.74,54.26,25.4,26.37,87.4,6.95,44.61,mungbean
17.04,58.57,20.81,30.09,82.21,6.21,43.84,mungbean
20.28,39.85,19.86,24.28,81.02,6.97,53.23,mungbean
37.36,59.36,15.09,28.97,68.32,7.47,62.93,blackgram
32.03,69.64,15.91,28.6,71.73,7.43,69.48,blackgram
31.2,69.19,23.45,28.96,71.86,7.62,84.54,blackgram
42.24,72.2,24.86,31.02,62.59,6.92,70.29,blackgram
31.07,66.35,23.59,24.42,72.77,7.55,63.3,blackgram
43.9,67.53,24.12,32.36,58.1,7.33,65.84,blackgram
40.68,61.67,26.19,32.5,61.4,6.57,64.04,blackgram
43.14,69.42,24.21,31.87,69.95,7.23,54.01,blackgram
38.73,75.98,18.99,31.16,63.51,6.69,66.67,blackgram
42.26,62.25,18.26,27.55,70.7,6.98,82.43,blackgram
50.8,66.85,15.17,24.69,57.74,6.55,81.68,blackgram
40.91,70.62,10.32,26.91,69.54,7.21,66.43,blackgram
44.05,80.59,18.32,30.07,66.06,8.06,46.91,blackgram
44.88,66.58,21.47,28.26,64.86,7.38,99.03,blackgram
45.76,60.72,17.5,28.77,56.12,6.97,75.23,blackgram
31.18,75.89,21.15,28.06,64.39,7.74,75.24,blackgram
40.16,65.6,19.51,28.62,54.58,7.92,69.45,blackgram
42.89,67.04,16.26,29.44,57.1,8.01,55.55,blackgram
32.88,63.98,24.35,29.94,58.92,7.6,75.21,blackgram
43.87,73.23,28.78,35.36,61.67,7.75,71.73,blackgram
43.59,53.96,18.52,27.87,69.24,7.53,47.16,blackgram
39.95,76.47,18.45,31.72,66.86,7.24,65.19,blackgram
31.58,58.53,22.04,29.95,64.41,6.93,64.85,blackgram
47.43,64.82,13.84,31.76,64.08,7.11,83.98,blackgram
39.96,69.81,14.48,29.35,68.15,6.48,69.91,blackgram
40.81,67.83,23.35,30.74,72.49,6.7,69.26,blackgram
40.69,58.95,23.03,35.71,65.01,7.3,68.75,blackgram
35.1,52.93,16.38,26.42,73.62,7.05,64.44,blackgram
46.32,58.53,16.13,30.07,70.24,7.3,70.38,blackgram
40.65,70.7,20.01,27.33,65.33,6.67,68.71,blackgram
36.74,87.82,19.04,26.39,64.43,7.31,84.63,blackgram
35.97,54.84,22.47,26.45,62.92,7.0,67.2,blackgram
44.92,62.03,18.11,29.86,65.85,7.14,72.26,blackgram
46.01,70.64,21.01,25.94,65.35,7.29,75.19,blackgram
35.25,62.23,16.9,31.24,70.27,6.94,76.98,blackgram
40.96,66.51,18.35,31.77,66.73,8.01,59.38,blackgram
43.73,63.27,15.72,29.87,65.79,8.27,66.06,blackgram
32.19,69.68,10.9,29.67,65.18,7.42,77.64,blackgram
36.58,66.3,16.14,27.08,66.65,6.59,63.75,blackgram
33.13,71.9,26.41,26.65,55.83,7.05,68.06,blackgram
41.63,63.93,18.4,30.82,70.3,6.32,64.21,blackgram
41.6,60.16,26.12,28.31,64.89,7.32,61.99,blackgram
27.17,64.07,23.32,29.06,60.87,7.47,64.59,blackgram
36.53,68.7,22.28,35.85,69.24,7.56,62.84,blackgram
32.92,68.0,19.63,27.2,64.22,7.26,71.5,blackgram
43.63,69.83,17.17,28.62,59.11,7.81,68.03,blackgram
38.53,60.07,30.94,27.22,62.96,7.27,73.9,blackgram
46.81,81.96,21.22,27.26,63.82,7.22,88.58,blackgram
30.32,77.12,19.92,31.99,64.59,6.76,75.41,blackgram
44.68,75.28,19.15,28.4,57.31,7.43,72.14,blackgram
33.34,63.19,17.33,26.19,61.01,6.65,63.78,blackgram
34.93,54.48,27.29,33.03,61.2,7.21,72.07,blackgram
48.44,60.95,23.57,28.53,58.42,7.39,80.81,blackgram
58.22,57.9,22.0,28.88,69.02,6.51,55.27,blackgram
34.67,68.13,16.64,31.55,70.23,7.34,84.09,blackgram
43.01,57.76,24.65,28.39,69.65,7.73,72.47,blackgram
29.63,60.15,24.49,29.48,65.5,7.4,74.86,blackgram
42.05,65.83,17.95,32.04,67.87,7.0,78.72,blackgram
39.2,60.69,16.16,27.45,63.74,7.59,59.85,blackgram
41.42,62.25,18.16,26.12,64.0,7.02,73.3,blackgram
41.66,57.91,23.54,30.43,66.09,7.1,62.72,blackgram
41.62,71.3,12.21,28.55,63.83,7.2,79.83,blackgram
34.7,63.52,17.15,27.9,63.36,7.41,57.36,blackgram
43.09,53.88,16.95,29.08,73.47,6.99,45.89,blackgram
26.11,67.77,21.66,30.84,65.94,7.56,62.5,blackgram
46.36,54.44,15.58,25.38,63.73,7.08,69.04,blackgram
40.53,60.08,18.44,26.16,71.92,6.98,63.01,blackgram
51.22,57.56,14.7,27.16,64.76,7.27,75.3,blackgram
58.1,49.5,21.63,28.51,62.17,6.85,58.81,blackgram
51.89,74.24,19.29,33.28,57.54,6.57,46.12,blackgram
35.2,68.79,19.61,30.27,58.04,7.42,70.3,blackgram
45.23,52.36,20.45,26.93,63.11,7.31,68.81,blackgram
34.14,67.55,13.07,32.78,64.07,7.55,62.63,blackgram
36.43,61.39,22.7,28.13,68.32,6.95,48.14,blackgram
36.11,58.07,19.34,26.92,69.73,7.06,66.12,blackgram
44.69,75.21,19.12,27.97,56.23,6.83,61.73,blackgram
40.85,64.74,21.95,28.37,64.81,7.57,71.32,blackgram
39.68,62.68,16.67,27.77,62.39,7.4,65.68,blackgram
30.65,81.65,20.48,26.38,62.89,7.14,84.95,blackgram
32.34,75.31,24.8,28.33,63.71,6.69,65.87,blackgram
39.84,72.78,23.56,28.03,55.26,7.09,70.84,blackgram
41.85,64.89,19.7,33.69,67.01,6.95,62.9,blackgram
38.91,80.59,18.47,29.85,62.69,7.54,87.5,blackgram
43.25,68.16,19.35,23.94,68.83,7.15,72.18,blackgram
35.12,64.42,17.56,32.45,63.21,7.93,72.21,blackgram
31.17,66.47,16.59,24.41,73.1,7.38,73.23,blackgram
41.26,56.44,17.27,32.0,59.84,6.09,65.63,blackgram
39.11,68.58,22.11,31.49,66.39,7.58,52.71,blackgram
43.63,72.51,14.24,26.14,61.37,6.84,75.43,blackgram
35.8,60.65,16.75,32.7,65.17,7.03,66.8,blackgram
49.14,61.51,24.46,30.43,64.3,8.1,57.34,blackgram
37.62,57.64,23.01,34.12,73.45,7.59,65.92,blackgram
37.54,54.13,27.34,31.07,62.64,7.63,58.17,blackgram
42.95,66.12,21.75,29.74,57.85,7.13,78.39,blackgram
39.9,73.7,15.02,29.83,61.98,7.4,68.21,blackgram
44.93,76.2,21.97,30.58,60.11,7.1,62.57,blackgram
37.69,64.5,15.28,25.01,61.76,7.18,54.42,blackgram
40.21,82.7,23.29,34.01,67.06,7.57,60.66,blackgram
35.59,45.59,23.94,33.75,62.33,7.0,60.36,blackgram
42.78,76.5,12.23,30.92,63.72,7.15,72.49,blackgram
17.86,67.57,18.54,27.41,67.31,6.99,35.53,lentil
16.91,75.59,19.55,26.48,75.4,7.32,46.45,lentil
16.25,47.97,18.73,23.52,67.14,6.84,43.14,lentil
9.9,60.88,21.31,29.65,64.21,7.03,53.32,lentil
14.75,71.33,16.44,27.09,65.71,7.02,39.44,lentil
22.34,85.08,15.37,23.48,66.19,7.21,41.22,lentil
4.63,79.27,22.44,19.27,61.15,7.53,57.28,lentil
23.49,66.99,19.73,24.11,71.57,6.55,39.25,lentil
23.85,68.05,24.91,22.49,64.47,6.53,45.76,lentil
11.41,64.5,13.65,26.58,69.1,6.21,56.37,lentil
31.29,68.77,16.84,32.97,56.89,6.91,47.14,lentil
25.53,71.28,17.41,21.65,62.75,6.5,46.08,lentil
15.98,56.45,24.42,23.01,57.19,6.83,46.25,lentil
10.07,71.05,15.21,29.63,67.94,6.74,39.74,lentil
18.28,73.3,19.3,23.85,65.15,6.66,42.95,lentil
8.37,76.19,20.6,22.18,76.19,6.93,37.41,lentil
23.08,71.58,20.98,23.22,67.5,6.8,50.15,lentil
9.28,64.93,26.29,22.2,61.18,6.72,35.98,lentil
7.76,66.56,19.94,24.34,63.93,6.92,53.88,lentil
17.85,63.81,18.28,26.24,73.27,6.65,46.49,lentil
20.49,60.46,19.48,20.1,54.19,7.05,42.63,lentil
19.81,68.26,15.49,24.36,57.4,7.46,34.85,lentil
17.82,60.06,21.68,23.51,61.69,7.24,45.94,lentil
21.38,60.55,13.78,24.82,62.89,7.15,45.06,lentil
19.83,55.41,26.95,24.01,68.99,6.57,48.16,lentil
12.29,72.02,17.98,24.59,68.99,6.41,40.22,lentil
21.09,85.19,18.85,26.27,64.16,7.68,31.72,lentil
19.27,55.4,9.37,25.39,65.64,6.79,44.85,lentil
34.29,66.33,21.44,22.55,66.57,6.8,42.42,lentil
27.89,77.82,19.95,17.59,62.63,7.98,43.85,lentil
24.32,79.94,20.28,21.97,50.19,7.17,39.18,lentil
19.68,58.4,18.34,24.6,66.41,6.45,55.28,lentil
15.82,55.0,18.96,24.6,65.76,7.44,43.81,lentil
18.2,59.57,22.68,25.05,62.28,6.14,57.26,lentil
12.66,63.67,20.83,20.91,55.84,6.05,51.47,lentil
16.07,91.82,15.42,21.74,61.41,7.0,41.94,lentil
21.86,60.57,13.87,19.11,51.46,6.69,43.29,lentil
15.64,78.35,24.31,23.5,54.04,6.67,40.9,lentil
15.51,62.82,16.79,23.34,60.99,6.98,48.58,lentil
14.25,78.57,15.48,19.65,67.08,6.57,48.27,lentil
6.78,79.54,22.09,20.0,55.93,7.57,39.8,lentil
